Astros-Braves World Series Simulation
1: Astros win in 4
2: Astros win in 5
3: Astros win in 6
4: Braves win in 5
5: Astros win in 7
6: Astros win in 7
7: Astros win in 6
8: Astros win in 7
9: Braves win in 7
10: Astros win in 6
11: Braves win in 6
12: Astros win in 7
13: Astros win in 7
14: Astros win in 5
15: Braves win in 5
16: Astros win in 6
17: Braves win in 6
18: Braves win in 6
19: Astros win in 5
20: Braves win in 4
21: Astros win in 5
22: Astros win in 6
23: Braves win in 7
24: Braves win in 5
25: Braves win in 4
26: Braves win in 5
27: Astros win in 5
28: Braves win in 5
29: Astros win in 7
30: Astros win in 6
31: Braves win in 4
32: Astros win in 6
33: Astros win in 7
34: Astros win in 6
35: Braves win in 7
36: Astros win in 7
37: Astros win in 6
38: Astros win in 6
39: Astros win in 5
40: Braves win in 5
41: Braves win in 5
42: Astros win in 6
43: Astros win in 7
44: Braves win in 7
45: Braves win in 6
46: Braves win in 7
47: Astros win in 7
48: Astros win in 5
49: Astros win in 7
50: Astros win in 6
51: Braves win in 4
52: Astros win in 7
53: Astros win in 6
54: Braves win in 7
55: Astros win in 7
56: Braves win in 6
57: Braves win in 6
58: Astros win in 6
59: Astros win in 7
60: Braves win in 6
61: Braves win in 4
62: Astros win in 7
63: Braves win in 7
64: Braves win in 6
65: Astros win in 5
66: Astros win in 5
67: Astros win in 7
68: Astros win in 7
69: Braves win in 7
70: Astros win in 7
71: Astros win in 6
72: Astros win in 7
73: Braves win in 7
74: Braves win in 6
75: Astros win in 7
76: Braves win in 5
77: Braves win in 7
78: Astros win in 5
79: Astros win in 5
80: Braves win in 6
81: Braves win in 7
82: Astros win in 6
83: Braves win in 6
84: Astros win in 7
85: Astros win in 5
86: Astros win in 5
87: Astros win in 6
88: Astros win in 7
89: Astros win in 7
90: Braves win in 5
91: Braves win in 5
92: Braves win in 6
93: Astros win in 6
94: Braves win in 7
95: Braves win in 7
96: Astros win in 7
97: Astros win in 4
98: Braves win in 5
99: Braves win in 4
100: Braves win in 4
101: Braves win in 5
102: Braves win in 5
103: Braves win in 7
104: Astros win in 6
105: Braves win in 5
106: Braves win in 6
107: Astros win in 4
108: Braves win in 7
109: Astros win in 7
110: Braves win in 5
111: Braves win in 7
112: Braves win in 5
113: Braves win in 5
114: Braves win in 4
115: Braves win in 7
116: Braves win in 7
117: Braves win in 7
118: Braves win in 7
119: Astros win in 7
120: Braves win in 4
121: Braves win in 5
122: Braves win in 6
123: Astros win in 6
124: Braves win in 7
125: Braves win in 5
126: Astros win in 7
127: Braves win in 5
128: Astros win in 6
129: Braves win in 5
130: Braves win in 4
131: Astros win in 4
132: Astros win in 7
133: Astros win in 6
134: Astros win in 7
135: Braves win in 6
136: Astros win in 7
137: Braves win in 6
138: Braves win in 5
139: Braves win in 7
140: Astros win in 5
141: Braves win in 4
142: Braves win in 4
143: Braves win in 4
144: Astros win in 7
145: Astros win in 6
146: Astros win in 6
